CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,closure_action
40365938,NANCY'S RESTAURANT,Queens,255-41,JAMAICA AVENUE,11001,7183434616,American,01/12/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,65,,,05/29/2026,Cycle Inspection / Initial Inspection,40.72741270333,-73.70962096637,413,23,157903,4180718,4088300050,QN44,POINT (-73.709620966368 40.727412703327),closed
50165000,SUMMIT BAKERY,Brooklyn,7026,NEW UTRECHT AVENUE,11228,9178827556,Bakery Products/Desserts,07/09/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05C,"Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food.",Critical,79,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.61945767147,-73.99889776032,311,38,019000,3157171,3061690031,BK28,POINT (-73.998897760317 40.619457671466),closed
50156912,TASTY HOME,Queens,133-49,ROOSEVELT AVENUE,11354,7185877727,Chinese,09/18/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot TCS food item not held at or above 140 °F.,Critical,50,,,05/29/2026,Pre-permit (Operational) / Compliance Inspection,40.75872883223,-73.83256984257,407,20,087100,4311708,4049730045,QN22,POINT (-73.83256984257 40.758728832227),closed
50092484,EL RINCON DE MACON,Brooklyn,522,NOSTRAND AVENUE,11216,7186901497,Spanish,04/13/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,76,,,05/29/2026,Cycle Inspection / Re-inspection,40.68089402545,-73.94968633687,303,36,024500,3053218,3018480017,BK75,POINT (-73.949686336873 40.680894025451),closed
50086483,MAMA'S FRIED CHICKEN,Queens,195-29,JAMAICA AVENUE,11423,7184813931,Chicken,05/30/2019,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,98,N,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.71328526424,-73.76468889705,412,23,048200,4222334,4104600062,QN07,POINT (-73.764688897053 40.713285264244),closed
50002626,GOLDEN BOWL RESTAURANT,Manhattan,51,DIVISION STREET,10002,9178067488,Chinese,05/26/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,78,,,05/29/2026,Cycle Inspection / Initial Inspection,40.71417983325,-73.99506531048,103,01,000800,1077595,1002810030,MN27,POINT (-73.995065310484 40.714179833247),closed
50130900,PELICANA CHICKEN,Queens,47-08,GREENPOINT AVENUE,11104,7182556650,Korean,10/03/2025,Establishment re-opened by DOHMH.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,6,P,10/03/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.74255322963,-73.91766226172,402,26,023500,4001515,4001510030,QN31,POINT (-73.917662261718 40.742553229627),re_opened
41600677,XO TASTE,Manhattan,41,ELIZABETH STREET,10013,2123438339,Chinese,09/15/2022,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,C,09/15/2022,05/29/2026,Cycle Inspection / Reopening Inspection,40.71682585201,-73.9968146897,102,01,004100,1002621,1002040024,MN24,POINT (-73.996814689698 40.716825852012),re_opened
50086764,EL CLUB VALLE RESTAURANT,Bronx,352,EAST GUN HILL ROAD,10467,6463292949,Spanish,10/08/2024,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,C,10/08/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.87875875385,-73.87277868003,207,11,042902,2018504,2033520045,BX43,POINT (-73.87277868003 40.878758753847),re_opened
50109826,YAH SUH NYCE,Queens,94-14,SUTPHIN BOULEVARD,11435,6466038665,Caribbean,01/27/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,63,,,05/29/2026,Cycle Inspection / Re-inspection,40.6988523742,-73.80684123712,412,27,020800,4213957,4099930023,QN61,POINT (-73.806841237119 40.6988523742),closed
50107891,SLICE BROADWAY,Queens,38-12,BROADWAY,11103,9176935593,Pizza,10/12/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,,,Not Applicable,,,,05/29/2026,Administrative Miscellaneous / Re-inspection,40.75927574715,-73.91967737124,401,22,015500,4010408,4006560036,QN70,POINT (-73.91967737124 40.759275747152),closed
50122265,MAX BAKERY & RESTAURANT,Queens,37-63,90 STREET,11372,3478453942,Bakery Products/Desserts,08/14/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,33,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.74927130884,-73.87662884138,403,21,027500,4036372,4014780046,QN28,POINT (-73.876628841383 40.749271308843),closed
50080912,J AND C RESTAURANT,Brooklyn,2187,CLARENDON ROAD,11226,3476279425,Caribbean,01/22/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,71,,,05/29/2026,Cycle Inspection / Initial Inspection,40.64274179286,-73.95688949158,314,40,079200,3118887,3051650047,BK95,POINT (-73.956889491579 40.642741792861),closed
41238372,NEW MALAYSIA RESTAURANT,Queens,135-17,40 ROAD,11354,7183532901,Asian/Asian Fusion,09/02/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches in facility's food or non-food area.,Critical,59,,,05/29/2026,Cycle Inspection / Initial Inspection,40.75886248384,-73.83012937173,407,20,087100,4114129,4050360049,QN22,POINT (-73.830129371732 40.758862483838),closed
50068988,MCDONALD'S #13068,Brooklyn,880,CONEY ISLAND AVENUE,11218,3473582828,Hamburgers,07/05/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical,59,,,05/29/2026,Cycle Inspection / Initial Inspection,40.63598774221,-73.96785775962,312,40,048200,3127349,3054030021,BK42,POINT (-73.967857759623 40.635987742206),closed
50077411,MISTER CHICKEN II,Queens,44-64,21 STREET,11101,3473306382,Chicken,06/13/2024,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,38,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.747810498,-73.94746295135,402,26,000700,4000453,4000520048,QN31,POINT (-73.947462951347 40.747810498002),re_closed
50097274,YUMI DELICACIES,Brooklyn,5902,FORT HAMILTON PARKWAY,11219,3476107995,Chinese,08/28/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,45,,,05/29/2026,Cycle Inspection / Re-inspection,40.63349988248,-74.00495031774,312,43,011600,3140909,3057080026,BK88,POINT (-74.004950317739 40.633499882484),closed
50061316,SURF CITY,Brooklyn,837,SURF AVENUE,11224,7186764460,Pizza,09/30/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,51,,,05/29/2026,Cycle Inspection / Initial Inspection,40.57534664099,-73.9770123,313,48,035000,3196567,3072680225,BK23,POINT (-73.977012300002 40.575346640986),closed
50177305,RIO JAYA RESTAURANT,Manhattan,79,AUDUBON AVENUE,10032,6464349446,Spanish,01/07/2026,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,P,01/07/2026,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.84125067654,-73.93779331477,112,10,025300,1063020,1021260028,MN36,POINT (-73.937793314771 40.841250676539),re_opened
50043178,BOSTON MARKET,Brooklyn,1340,PENNSYLVANIA AVENUE,11239,3475494952,Chicken,12/10/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,58,,,05/29/2026,Cycle Inspection / Re-inspection,40.64820082876,-73.88216787395,305,42,105804,3345673,3044520015,BK93,POINT (-73.882167873945 40.648200828761),closed
50015570,RANGOLI EXQUISITE INDIAN CUISINE,Manhattan,1393A,2 AVENUE,10021,2126283800,Indian,11/21/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,70,,,05/29/2026,Cycle Inspection / Initial Inspection,40.76925691015,-73.95803475591,108,05,012600,1043974,1014270028,MN31,POINT (-73.958034755906 40.769256910152),closed
41697952,MARYANN'S WOODSIDE EVENTS,Queens,58-02,37 AVENUE,11377,7184403464,Filipino,12/13/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,64,N,,05/29/2026,Cycle Inspection / Initial Inspection,40.75011008318,-73.90419062873,402,26,025900,4027705,4012130048,QN63,POINT (-73.904190628729 40.750110083178),closed
50004089,ECLAIR BAKERY,Manhattan,305,EAST   53 STREET,10022,9175685254,Bakery Products/Desserts,05/04/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,70,,,05/29/2026,Cycle Inspection / Initial Inspection,40.75658446586,-73.9667237015,106,04,009800,1085117,1013460101,MN19,POINT (-73.9667237015 40.756584465857),closed
41686208,CHANG PAI,Queens,166-12,HILLSIDE AVENUE,11432,7182918222,Chinese,10/28/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,58,,,05/29/2026,Cycle Inspection / Re-inspection,40.70956879039,-73.79620551901,412,24,046000,4210082,4098180062,QN61,POINT (-73.796205519005 40.709568790389),closed
41643705,ZEN FUSION CUISINE,Queens,79-28,PARSONS BOULEVARD,11366,7185915555,Asian/Asian Fusion,05/28/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,55,,,05/29/2026,Cycle Inspection / Initial Inspection,40.72049617386,-73.80922059877,408,24,077904,4147723,4068170020,QN37,POINT (-73.809220598769 40.720496173864),closed
50124696,ABEY AFRICAN FOOD,Staten Island,58,RICHMOND TER,10301,6315651623,African,09/26/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,64,,,05/29/2026,Cycle Inspection / Initial Inspection,40.64413509717,-74.07662329886,501,49,000300,5000069,5000070070,SI22,POINT (-74.076623298863 40.644135097173),closed
50124568,RACER TECHNOLOGIES (GHOST KITCHEN),Brooklyn,358,BROADWAY,11211,5203310546,Fusion,01/24/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared.  Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing.  ROP food prepared on premises transported to another site.",Critical,51,N,,05/29/2026,Pre-permit (Operational) / Re-inspection,40.70750144424,-73.95531813721,301,33,052900,3059767,3021530001,BK72,POINT (-73.955318137207 40.707501444244),closed
50070093,GOOD TASTE 666,Queens,43-45,MAIN STREET,11355,7188863332,Chinese,04/02/2024,Establishment re-closed by DOHMH.,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,22,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.75158011766,-73.82612728759,407,20,079701,4442752,4051400047,QN22,POINT (-73.826127287585 40.751580117656),re_closed
41251802,LETY BAKERY,Queens,77-07,37 AVENUE,11372,7185076539,Bakery Products/Desserts,03/21/2025,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,P,03/21/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.74927825581,-73.88879524033,403,25,028700,4029588,4012770036,QN28,POINT (-73.88879524033 40.749278255812),re_opened
50076470,TARTINERY,Manhattan,90,PARK AVENUE,10016,2123005838,American,08/13/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,84,,,05/29/2026,Cycle Inspection / Re-inspection,40.75049672149,-73.97886450539,106,04,008200,1017595,1008690034,MN20,POINT (-73.978864505394 40.750496721488),closed
50085359,HIMALAYAN CURRY HOUSE,Manhattan,254,WEST  108 STREET,10025,2127497800,Indian,07/06/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,0,,,05/29/2026,Cycle Inspection / Initial Inspection,40.80266072067,-73.96698231792,107,07,019500,1056672,1018790061,MN09,POINT (-73.966982317915 40.802660720673),closed
50071600,MONA KITCHEN & MARKET,Manhattan,310,EAST   44 STREET,10017,2125990999,American,01/17/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,73,,,05/29/2026,Cycle Inspection / Initial Inspection,40.75088744274,-73.97075806232,106,04,008800,1038671,1013360040,MN19,POINT (-73.970758062318 40.750887442742),closed
50158021,MARTHA'S PASTRY & CAFE,Brooklyn,1183,BEDFORD AVENUE,11216,7182070471,Coffee/Tea,03/07/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,92,,,05/29/2026,Pre-permit (Operational) / Second Compliance Inspection,40.68295160226,-73.9538203259,303,36,024500,3051832,3018270001,BK75,POINT (-73.953820325904 40.682951602257),closed
50002749,SANTA ANA DELI & GROCERY,Brooklyn,171,IRVING AVENUE,11237,7186284691,Mexican,03/24/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,63,,,05/29/2026,Cycle Inspection / Initial Inspection,40.7021930368,-73.91995559494,304,37,044300,3325596,3032590008,BK77,POINT (-73.919955594937 40.702193036796),closed
41091113,EL JOBO RESTAURANT,Bronx,54,EAST  181 STREET,10453,7183677266,Latin American,08/07/2025,Establishment re-closed by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,67,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.85526445735,-73.90456273215,205,14,024100,2013952,2031780031,BX41,POINT (-73.904562732154 40.855264457348),re_closed
50116306,DANNY'S GRILL,Queens,73-06,BELL BOULEVARD,11364,7182682568,Barbecue,10/22/2025,Establishment re-closed by DOHMH.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.74055753946,-73.75817597943,411,23,129103,4439703,4077320050,QN42,POINT (-73.758175979426 40.74055753946),re_closed
40401834,72ND EATERY,Manhattan,261,COLUMBUS AVE STORE #2,10023,2127217800,American,02/05/2024,Establishment re-opened by DOHMH.,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,11,P,02/05/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.77755725066,-73.97867173881,107,06,015700,1028631,1011250001,MN14,POINT (-73.978671738806 40.777557250664),re_opened
41380245,RED LOTUS BAKERY & CAFE,Queens,255-07,NORTHERN BOULEVARD,11362,7188190288,Chinese/Cuban,04/17/2024,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,P,04/17/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.77202851353,-73.73433377614,411,19,147900,4169567,4081390048,QN45,POINT (-73.734333776139 40.772028513527),re_opened
50151832,AWAZE ETHIOPIAN CUISINE,Manhattan,2288,FREDERICK DOUGLASS BOULEVARD,,6466480154,Ethiopian,03/18/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,83,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,0,0,,,,,1,,,closed
50162523,MAPLE DOMO SUSHI,Brooklyn,512,COURT STREET,11231,7182225758,Japanese,03/06/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,86,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.67627462589,-73.99883913492,306,39,006500,3005637,3003790031,BK33,POINT (-73.998839134924 40.67627462589),closed
